# Curated Greek/Latin naming morphemes (Phase 141, roadmap phase 3).
# Columns: form <TAB> origin(G|L) <TAB> gloss <TAB> comma-separated tags
# Glosses/tags are plain English so brief keywords (and their semantic-field
# neighbors) can select morphemes by meaning. Forms are the combining forms
# naming agencies actually use. Curated from the public Wikipedia "List of
# Greek and Latin roots in English" (CC BY-SA) plus standard naming practice.
celer	L	swift	swift,fast,speed,quick,accelerate
tempo	L	time	time,pace,rhythm,speed
chrono	G	time	time,clock,schedule,chronology
forte	L	strong	strong,force,power,bold
valid	L	strong	strong,valid,sound,robust,power
robur	L	strength	strength,strong,sturdy,solid,oak
firm	L	firm	firm,solid,stable,strong,sure
tut	L	safe	safe,guard,protect,secure
sec	L	safe	safe,secure,sure,guard
serv	L	keep	keep,guard,serve,protect,save
custo	L	guard	guard,keep,protect,watch,custody
sanct	L	sacred	sacred,holy,pure,safe
pur	L	pure	pure,clean,clear,pure
sana	L	health	health,heal,cure,sound,well
medi	L	heal	heal,health,cure,remedy,middle
nutri	L	nourish	nourish,feed,grow,nurture
gen	G	origin	origin,birth,create,gene,kind
crea	L	create	create,make,build,craft
fac	L	make	make,build,craft,do,factory
struct	L	build	build,structure,construct,frame
tekton	G	builder	builder,craft,structure,architect
morph	G	form	form,shape,structure,change
plas	G	form	form,shape,mold,plastic,create
forma	L	shape	shape,form,design,structure
grad	L	step	step,grade,degree,progress,move
scala	L	ladder	ladder,scale,step,climb,level
port	L	carry	carry,port,gate,transport,bring
fer	L	carry	carry,bring,bear,ferry
trans	L	across	across,through,transfer,change
nex	L	bind	bind,connect,link,join,knot
junct	L	join	join,connect,link,junction,unite
liga	L	tie	tie,bind,link,ligament,connect
plex	L	weave	weave,braid,complex,fold,network
tex	L	weave	weave,fabric,textile,structure
grafo	G	write	write,draw,record,graph
scrib	L	write	write,record,script,draw
sign	L	mark	mark,sign,symbol,signal,seal
nota	L	note	note,mark,record,notice
numer	L	number	number,count,numeral,measure
metr	G	measure	measure,meter,metric,gauge
calc	L	count	count,calculate,compute,reckon
data	L	give	give,data,fact,record
crypt	G	hidden	hidden,secret,crypt,cipher,secure
arca	L	secret	secret,hidden,arcane,vault
vault	L	vault	vault,store,secure,arch
thes	G	place	place,store,thesis,deposit
theca	G	store	store,case,box,vault,library
biblio	G	book	book,library,text,record
codex	L	book	book,code,record,text
omni	L	all	all,every,universal,total
pan	G	all	all,every,universal,whole
poly	G	many	many,multiple,poly,several
multi	L	many	many,multiple,multi,several
uni	L	one	one,single,unite,unity
mono	G	one	one,single,solo,mono
macro	G	large	large,big,macro,broad,wide
mega	G	great	great,large,big,mega,huge
magn	L	great	great,large,grand,big,major
maxi	L	greatest	greatest,max,large,top
micro	G	small	small,tiny,micro,minute
mini	L	small	small,mini,little,minor
nano	G	tiny	tiny,nano,small,minute
brev	L	short	short,brief,quick,concise
alti	L	high	high,tall,altitude,peak,summit
acro	G	height	height,peak,top,summit,edge
apex	L	peak	peak,top,summit,apex,tip
prof	L	deep	deep,depth,profound,base
fund	L	base	base,foundation,fund,ground,core
centr	L	center	center,core,central,middle,hub
medio	L	middle	middle,center,median,mid
peri	G	around	around,perimeter,near,about
circ	L	around	around,circle,circuit,round
inter	L	between	between,inter,among,link
intra	L	within	within,inside,internal,core
endo	G	inside	inside,internal,inner,within
exo	G	outside	outside,external,outer,beyond
ultra	L	beyond	beyond,extreme,ultra,super
super	L	above	above,super,over,top,beyond
hyper	G	over	over,above,hyper,extreme,high
apo	G	away	away,from,apart,origin
syn	G	together	together,sync,union,join,with
sym	G	together	together,harmony,union,with
con	L	with	with,together,join,unite
co	L	together	together,joint,shared,co
auto	G	self	self,auto,own,independent
homo	G	same	same,similar,homo,equal
iso	G	equal	equal,same,iso,balance,even
para	G	beside	beside,parallel,near,support
meta	G	beyond	beyond,change,meta,transcend
vero	L	true	true,truth,real,honest,verify
fide	L	faith	faith,trust,loyal,fidelity,true
firma	L	sure	sure,firm,stable,confirm,solid
optim	L	best	best,optimal,prime,ideal
grand	L	grand	grand,great,big,noble
nobil	L	noble	noble,noble,grand,honor
ora	L	speak	speak,voice,oration,pray,edge
voca	L	call	call,voice,vocal,summon,name
nomen	L	name	name,noun,title,label
onym	G	name	name,title,label,identity
sema	G	sign	sign,meaning,signal,symbol,mark
icon	G	image	image,icon,symbol,picture
typo	G	mark	mark,type,print,model,form
mod	L	measure	measure,mode,manner,method,shape
ordo	L	order	order,rank,sequence,arrange
seri	L	series	series,sequence,order,row,chain
grega	L	flock	flock,group,gather,herd,social
tribu	L	tribe	tribe,group,people,clan,community
demo	G	people	people,public,demo,population
civi	L	citizen	citizen,city,civic,public,social
urb	L	city	city,urban,town,metropolis
domus	L	home	home,house,domestic,dwelling
loci	L	place	place,location,site,spot,locus
via	L	road	road,way,path,route,street
ped	L	foot	foot,walk,step,base
volo	L	fly	fly,flight,wing,soar,will
avi	L	bird	bird,fly,wing,aviary
ala	L	wing	wing,fly,flight,edge
pter	G	wing	wing,fly,feather,flight
pharo	G	lighthouse	beacon,light,guide,lighthouse,tower
sider	L	star	star,constellation,sky,sidereal
